gameID,teamID,season,date,location,shots,shotsOnTarget,result
81,89,2015,8/8/2015 15:45,h,9,1,W
81,82,2015,8/8/2015 15:45,a,9,4,L
82,73,2015,8/8/2015 18:00,h,11,2,L
82,71,2015,8/8/2015 18:00,a,7,3,W
83,72,2015,8/8/2015 18:00,h,10,5,D
83,90,2015,8/8/2015 18:00,a,11,5,D
84,75,2015,8/8/2015 18:00,h,19,8,W
84,77,2015,8/8/2015 18:00,a,11,5,L
85,79,2015,8/8/2015 18:00,h,17,6,L
85,78,2015,8/8/2015 18:00,a,11,7,W
86,80,2015,8/8/2015 20:30,h,11,3,D
86,84,2015,8/8/2015 20:30,a,17,10,D
87,86,2015,9/8/2015 16:30,h,9,4,D
87,74,2015,9/8/2015 16:30,a,14,4,D
88,83,2015,9/8/2015 16:30,h,22,6,L
88,81,2015,9/8/2015 16:30,a,8,4,W
89,85,2015,9/8/2015 19:00,h,7,1,L
89,87,2015,9/8/2015 19:00,a,8,3,W
90,76,2015,10/8/2015 23:00,h,9,2,L
90,88,2015,10/8/2015 23:00,a,20,7,W
91,71,2015,14/8/2015 22:45,h,5,1,L
91,89,2015,14/8/2015 22:45,a,9,2,W
92,74,2015,15/8/2015 15:45,h,17,4,L
92,72,2015,15/8/2015 15:45,a,10,4,W
93,77,2015,15/8/2015 18:00,h,6,2,L
93,79,2015,15/8/2015 18:00,a,18,6,W
94,84,2015,15/8/2015 18:00,h,19,6,W
94,86,2015,15/8/2015 18:00,a,4,2,L
95,82,2015,15/8/2015 18:00,h,13,7,D
95,85,2015,15/8/2015 18:00,a,15,7,D
96,90,2015,15/8/2015 18:00,h,16,5,D
96,76,2015,15/8/2015 18:00,a,6,0,D
97,81,2015,15/8/2015 18:00,h,10,3,L
97,75,2015,15/8/2015 18:00,a,10,5,W
98,78,2015,16/8/2015 16:30,h,11,4,L
98,83,2015,16/8/2015 16:30,a,20,7,W
99,88,2015,16/8/2015 19:00,h,18,8,W
